description,nom_localisation,salarie_nombre,telephone
,,,
,,,
Conseil en systèmes et logiciels informatiques,"INTERWAY,WAMBRECHIES",100 à 199 salariés,http://www.groupe-interway.fr
Tierce maintenance de systèmes et d’applications informatiques,"FICHORGA,TEMPLEMARS",50 à 99 salariés,0320620808
Programmation informatique,"EOL GROUP-ELDORADO,MARCQ-EN-BAROEUL",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATECNA,WASQUEHAL",100 à 199 salariés,0320898450
Édition de logiciels système et de réseau,"CIM,VILLENEUVE-D-ASCQ",50 à 99 salariés,0320659665
Conseil en systèmes et logiciels informatiques,"GFI INFORMATIQUE,LILLE",500 à 999 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"MODIS,MARCQ-EN-BAROEUL",1 ou 2 salariés,0320197676
"Traitement de données, hébergement et activités connexes","J.S.I (GROUPE JOUVE),LENS",100 à 199 salariés,Modifier ces informations
"Traitement de données, hébergement et activités connexes","PROCHEQUE NORD,ROUBAIX",250 à 499 salariés,0320945035
Édition de logiciels système et de réseau,"STORMSHIELD,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
"Traitement de données, hébergement et activités connexes","EURO TVS,VERLINGHEM",50 à 99 salariés,0388142626
Programmation informatique,"REEZOCORP,WASQUEHAL",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"EXPERIS FRANCE,VILLENEUVE-D-ASCQ",200 à 249 salariés,https://www.proservia.fr/
Enseignement supérieur,"SANTELYS FORMATION,LOOS",100 à 199 salariés,0320160360
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,DOUAI",0 salarié,0366060201
Conseil en systèmes et logiciels informatiques,"OPEN,LAMBERSART",250 à 499 salariés,0320304545
Programmation informatique,"NACON,FRETIN",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"NEXTOO,ROUBAIX",100 à 199 salariés,0607828099
Vente à distance sur catalogue général,"CENTRE LECLERC,FRETIN",20 à 49 salariés,0320591010
Edition de logiciels applicatifs,"SARBACANE SOFTWARE,HEM",50 à 99 salariés,0328328000
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
